Lp.,Name,Id,VAI™,VAI™ Reach,VAI™ Speed,VAI™ Hold,Avg. TTFF,Avg. Relative TTFF,Avg. TTFG,Fixations Avg. Time Spent,Gazes Avg. Time Spent,Fixations,Gazes,Fixations ratio,Fixations relative ratio,Gazes ratio,Avg. Fixation Duration,Avg. FFD,K-coefficient,Avg. Revisits,Clicks,Avg. TTFC,Avg. Relative TTFC,AOI Time Range
1,content_categories_block,90cd9620-0635-40f7-b09c-cc25cafb6a0c,32.20%,59.10%,28.60%,9.00%,2.82s,2.32s,2.15s,0.69s,0.75s,37,633,13 / 22 (59%),13 / 22 (59%),19 / 22 (86%),0.26s,0.26s,0.21,0.43,0,N/A,N/A,0.5s ‒ 5s
2,content_quick_actions,26e149f8-240c-4547-bd42-3a937b322f96,52.70%,86.40%,61.00%,10.60%,1.82s,1.32s,1.13s,0.56s,0.78s,50,699,19 / 22 (86%),19 / 22 (86%),20 / 22 (91%),0.21s,0.2s,-0.06,0.64,0,N/A,N/A,0.5s ‒ 5s
3,cta_delivery_pickup,6b554bc9-f93e-4382-9258-3ec0d335ae2f,49.80%,81.80%,51.90%,15.60%,2.15s,1.65s,1.17s,0.86s,1s,73,937,18 / 22 (82%),18 / 22 (82%),21 / 22 (95%),0.22s,0.23s,0.33,1.09,0,N/A,N/A,0.5s ‒ 5s
4,cta_qr_scanner,c4b886b1-cf51-402b-9d34-0925e436169c,2.50%,4.50%,2.50%,0.50%,2.5s,2s,2.66s,0.54s,0.24s,2,34,1 / 22 (5%),1 / 22 (5%),3 / 22 (14%),0.27s,0.4s,0.49,0,0,N/A,N/A,0.5s ‒ 5s
5,meta_tsinotyzhyky_header,61703869-219f-42ae-a23a-40a23790db0c,20.50%,40.90%,17.30%,3.40%,3.1s,2.6s,2.66s,0.38s,0.48s,15,233,9 / 22 (41%),9 / 22 (41%),11 / 22 (50%),0.23s,0.23s,0.73,0.15,0,N/A,N/A,0.5s ‒ 5s
6,nav_bottom_bar,91e6c0d1-2169-4283-9273-3524879f9bc6,9.20%,18.20%,7.40%,2.00%,3.18s,2.68s,2.77s,0.49s,0.39s,6,80,4 / 22 (18%),4 / 22 (18%),5 / 22 (23%),0.3s,0.3s,-0.01,0.05,0,N/A,N/A,0.5s ‒ 5s
7,nav_search,cd85833c-4699-4cc0-ad1f-cb4536924f1a,41.70%,72.70%,45.70%,6.70%,2.17s,1.67s,1.5s,0.41s,0.53s,30,431,16 / 22 (73%),16 / 22 (73%),19 / 22 (86%),0.22s,0.22s,0.14,0.32,0,N/A,N/A,0.5s ‒ 5s
8,nav_topbar_chrome,d45a6644-1ed9-4163-a189-4225f6fe9775,22.60%,40.90%,23.40%,3.60%,2.42s,1.92s,2.08s,0.39s,0.39s,15,213,9 / 22 (41%),9 / 22 (41%),12 / 22 (55%),0.27s,0.29s,0.06,0.14,0,N/A,N/A,0.5s ‒ 5s
9,offer_promo_banner,c1287dd7-3e68-4868-b507-77556e821c48,42.90%,68.20%,50.90%,9.70%,1.64s,1.14s,1.26s,0.64s,0.91s,42,588,15 / 22 (68%),15 / 22 (68%),15 / 22 (68%),0.24s,0.23s,0.3,0.59,0,N/A,N/A,0.5s ‒ 5s
10,status_balance_chip,f64b49fa-bbce-420a-9b09-f0fd16403fb8,5.70%,9.10%,7.30%,0.80%,1.39s,0.89s,2.44s,0.38s,0.15s,3,53,2 / 22 (9%),2 / 22 (9%),8 / 22 (36%),0.29s,0.24s,-1.1,0,0,N/A,N/A,0.5s ‒ 5s
